Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Clark Bishop,CAR,L,C,1996-03-29,St. John's,NL,CAN,CAN,73,199,2014,5,127,20182019,N,2,0,0,0
Oliver Bjorkstrand,CBJ,R,R,1995-04-10,Herning,--,DNK,DNK,72,177,2013,3,89,20162017,N,10,2,3,5
Nick Bjugstad,MIN,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,215,2010,1,19,20152016,N,4,0,0,0
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,205,2014,6,176,20182019,N,15,1,2,3
Teddy Blueger,PIT,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,1,0,0,0
Nick Bonino,MIN,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20102011,N,6,0,2,2
Robert Bortuzzo,STL,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20132014,N,17,2,0,2
Gabriel Bourque,--,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,131,20112012,N,12,1,0,1
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20122013,N,26,0,7,7
Johnny Boychuk,NYI,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20092010,N,4,0,1,1
Travis Boyd,TOR,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,1,0,0,0
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,3,0,2,2
Tyler Bozak,STL,R,C,1986-03-19,Regina,SK,CAN,CAN,73,199,--,--,--,20122013,N,26,5,8,13
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20122013,N,9,0,1,1
Justin Braun,PHI,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,20,0,1,1
TJ Brodie,TOR,L,D,1990-06-07,Chatham,ON,CAN,CAN,73,185,2008,4,114,20142015,N,5,2,0,2
Connor Brown,OTT,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,186,2012,6,156,20162017,N,7,0,1,1
Patrick Brown,VGK,R,C,1992-05-29,Bloomfield Hills,MI,USA,USA,71,214,--,--,--,20182019,N,8,0,0,0
Andre Burakovsky,COL,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,201,2013,1,23,20142015,N,7,1,1,2
Brent Burns,SJS,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20062007,N,20,5,11,16
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20082009,N,6,2,6,8
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,2,0,0,0
Matt Calvert,COL,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20132014,N,8,0,4,4
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,212,2015,2,37,20182019,N,24,2,2,4
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,7,0,5,5
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,218,2013,2,57,20172018,N,7,0,0,0
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,230,2015,2,43,20182019,N,4,0,3,3
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,20012002,N,23,2,4,6
Ben Chiarot,MTL,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,225,2009,4,119,20142015,N,6,0,0,0
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,72,193,2015,3,72,20172018,N,4,1,1,2
