Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Andre Burakovsky,COL,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,201,2013,1,23,20142015,N,13,2,4,6
Brent Burns,SJS,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20062007,N,10,3,4,7
Will Butcher,NJD,L,D,1995-01-06,Sun Prairie,WI,USA,USA,70,190,2013,5,123,20172018,N,5,1,3,4
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20082009,N,17,5,11,16
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,15,2,1,3
Matt Calvert,COL,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20132014,N,6,3,1,4
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,24,5,15,20
Ryan Carpenter,CHI,R,C,1991-01-18,Oviedo,FL,USA,USA,72,200,--,--,--,20172018,N,17,0,5,5
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,218,2013,2,57,20172018,N,10,0,0,0
Jeff Carter,LAK,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,4,0,0,0
Zdeno Chara,--,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,20012002,N,12,1,2,3
Ben Chiarot,MTL,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,225,2009,4,119,20142015,N,16,0,3,3
Alex Chiasson,EDM,R,R,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,2,38,20132014,N,16,1,1,2
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20022003,N,2,0,0,0
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,72,193,2015,3,72,20172018,N,17,2,1,3
Kyle Clifford,STL,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,211,2009,2,35,20102011,N,4,0,0,0
Braydon Coburn,TBL,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,1,8,20072008,N,17,0,2,2
Andrew Cogliano,DAL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,175,2005,1,25,20122013,N,4,1,0,1
Ian Cole,COL,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20112012,N,6,0,3,3
