Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Mike Blunden,--,R,R,1986-12-15,Toronto,ON,CAN,CAN,76,217,2005,2,43,20122013,N,7,0,0,0
Nick Bonino,MIN,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20102011,N,24,4,14,18
Robert Bortuzzo,STL,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20132014,N,5,0,1,1
Jay Bouwmeester,--,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20122013,N,20,0,4,4
Johnny Boychuk,NYI,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20092010,N,11,0,0,0
Brian Boyle,--,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,17,5,0,5
Dan Boyle,--,R,D,1976-07-12,Ottawa,ON,CAN,CAN,71,194,--,--,--,20022003,N,4,0,1,1
Derick Brassard,--,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20122013,N,5,1,3,4
Justin Braun,PHI,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,24,2,5,7
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,73,194,2011,1,10,20122013,N,6,1,2,3
Kyle Brodziak,--,R,C,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,7,214,20122013,N,20,2,0,2
Troy Brouwer,--,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20082009,N,20,8,5,13
Dustin Brown,LAK,R,R,1984-11-04,Ithaca,NY,USA,USA,72,210,2003,1,13,20092010,N,5,0,1,1
JT Brown,--,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20132014,N,9,0,2,2
Andre Burakovsky,COL,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,201,2013,1,23,20142015,N,12,1,0,1
Brent Burns,SJS,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20062007,N,24,7,17,24
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,16,2,2,4
Brian Campbell,--,L,D,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,20052006,N,6,0,1,1
Matt Carle,--,L,D,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,2,47,20052006,N,14,0,5,5
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,12,5,7,12
Jeff Carter,LAK,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,5,2,0,2
Ryan Carter,--,L,L,1983-08-03,White Bear Lake,MN,USA,USA,73,205,--,--,--,20062007,N,2,0,0,0
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20022003,N,12,1,1,2
Taylor Chorney,--,L,D,1987-04-27,Thunder Bay,ON,CAN,CAN,72,193,2005,2,36,20142015,N,7,0,1,1
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,195,2009,4,92,20122013,N,11,0,3,3
Kyle Clifford,STL,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,211,2009,2,35,20102011,N,4,0,1,1
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,216,2006,3,72,20122013,N,11,2,1,3
