Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Ryan Callahan,--,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,25,2,6,8
Matt Carle,--,L,D,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,2,47,20052006,N,25,0,3,3
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,14,1,5,6
Ryan Carter,--,L,L,1983-08-03,White Bear Lake,MN,USA,USA,73,205,--,--,--,20062007,N,1,0,0,0
Cody Ceci,--,R,D,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,1,15,20142015,N,6,0,2,2
Ben Chiarot,MTL,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,225,2009,4,119,20142015,N,2,0,0,0
Alex Chiasson,EDM,R,R,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,2,38,20132014,N,4,0,0,0
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20022003,N,14,3,4,7
Taylor Chorney,--,L,D,1987-04-27,Thunder Bay,ON,CAN,CAN,72,193,2005,2,36,20142015,N,5,0,0,0
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,195,2009,4,92,20122013,N,7,1,0,1
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,216,2006,3,72,20122013,N,7,2,1,3
