Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Andreas Athanasiou,EDM,L,L,1994-08-06,Woodbridge,ON,CAN,CAN,74,188,2012,4,110,20152016,N,9,1,0,1
Cam Atkinson,CBJ,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20132014,N,29,9,14,23
Nicolas Aube-Kubel,PHI,R,R,1996-05-10,Slave Lake,AB,CAN,CAN,71,187,2014,2,48,20192020,N,13,2,1,3
David Backes,ANA,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20082009,N,53,12,14,26
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,200,2007,1,24,20142015,N,19,6,6,12
Nicklas Backstrom,WSH,L,C,1987-11-23,Gävle,--,SWE,SWE,73,206,2006,1,4,20072008,N,57,18,38,56
Josh Bailey,NYI,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20122013,N,39,8,21,29
Ivan Barbashev,STL,L,C,1995-12-14,Moscow,--,RUS,RUS,72,187,2014,2,33,20162017,N,34,3,3,6
Mark Barberio,COL,L,D,1990-03-23,Montreal,QC,CAN,CAN,73,200,2008,6,152,20132014,N,6,0,1,1
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,210,2013,1,2,20152016,N,10,3,4,7
Tyson Barrie,TOR,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20132014,N,23,1,11,12
Matt Bartkowski,MIN,L,D,1988-06-04,Pittsburgh,PA,USA,USA,73,198,2008,7,190,20122013,N,5,0,0,0
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,72,187,2015,1,16,20182019,N,30,7,17,24
Cody Bass,--,R,C,1987-01-07,Owen Sound,ON,CAN,CAN,72,205,2005,4,95,20072008,N,6,0,0,0
Jay Beagle,VAN,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,65,6,7,13
Ethan Bear,EDM,R,D,1997-06-26,Regina,SK,CAN,CAN,71,197,2015,5,124,20192020,N,4,0,0,0
Francois Beauchemin,--,L,D,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,3,75,20052006,N,4,0,0,0
Nathan Beaulieu,WPG,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20132014,N,9,0,2,2
Anthony Beauvillier,NYI,L,L,1997-06-08,Sorel-Tracy,QC,CAN,CAN,71,182,2015,1,28,20182019,N,30,10,6,16
Matt Beleskey,NYR,L,L,1988-06-07,Windsor,ON,CAN,CAN,72,207,2006,4,112,20102011,N,3,0,0,0
Pierre-Edouard Bellemare,COL,L,C,1985-03-06,Le Blanc-Mesnil,--,FRA,FRA,72,198,--,--,--,20152016,N,46,2,5,7
Alex Belzile,MTL,R,R,1991-08-31,Riviere-du-Loup,QC,CAN,CAN,72,192,--,--,--,20192020,N,6,0,1,1
Emil Bemstrom,CBJ,R,C,1999-06-01,Nykoping,--,SWE,SWE,72,190,2017,4,117,20192020,N,5,0,0,0
Jamie Benn,DAL,L,L,1989-07-18,Victoria,BC,CAN,CAN,74,210,2007,5,129,20132014,N,50,15,28,43
Jordie Benn,VAN,L,D,1987-07-26,Victoria,BC,CAN,CAN,74,199,--,--,--,20132014,N,14,0,0,0
Beau Bennett,ARI,R,R,1991-11-27,Gardena,CA,USA,USA,74,195,2010,1,20,20122013,N,1,0,0,0
Sam Bennett,CGY,L,C,1996-06-20,Holland Landing,ON,CAN,CAN,73,195,2014,1,4,20142015,N,19,8,7,15
Matt Benning,EDM,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,16,0,4,4
Patrice Bergeron,BOS,R,C,1985-07-24,Ancienne-Lorette,QC,CAN,CAN,73,195,2003,2,45,20032004,N,54,19,26,45
Patrik Berglund,--,L,C,1988-06-02,Västerås,--,SWE,SWE,76,215,2006,1,25,20082009,N,31,4,9,13
Steve Bernier,--,R,R,1985-03-31,Quebec City,QC,CAN,CAN,75,225,2003,1,16,20052006,N,6,0,0,0
Kevin Bieksa,--,R,D,1981-06-16,Grimsby,ON,CAN,CAN,73,197,2001,5,151,20062007,N,15,0,5,5
Clark Bishop,CAR,L,C,1996-03-29,St. John's,NL,CAN,CAN,73,199,2014,5,127,20182019,N,2,0,0,0
Anthony Bitetto,WPG,L,D,1990-07-15,Island Park,NY,USA,USA,73,210,2010,6,168,20152016,N,14,0,0,0
Anders Bjork,BOS,L,L,1996-08-05,Mequon,WI,USA,USA,72,190,2014,5,146,20192020,N,10,0,1,1
Oliver Bjorkstrand,CBJ,R,R,1995-04-10,Herning,--,DNK,DNK,72,177,2013,3,89,20162017,N,31,6,6,12
Nick Bjugstad,MIN,R,C,1992-07-17,Minneapolis,MN,USA,USA,78,215,2010,1,19,20152016,N,9,2,2,4
Sammy Blais,STL,L,L,1996-06-17,Montmagny,QC,CAN,CAN,74,205,2014,6,176,20182019,N,23,2,5,7
Teddy Blueger,PIT,L,C,1994-08-15,Riga,--,LVA,LVA,72,185,2012,2,52,20182019,N,5,1,0,1
Mike Blunden,--,R,R,1986-12-15,Toronto,ON,CAN,CAN,76,217,2005,2,43,20122013,N,7,0,0,0
Mikkel Boedker,OTT,L,L,1989-12-16,Brondby,--,DNK,DNK,71,207,2008,1,8,20102011,N,14,2,6,8
Brock Boeser,VAN,R,R,1997-02-25,Burnsville,MN,USA,USA,73,208,2015,1,23,20192020,N,17,4,7,11
Zach Bogosian,TBL,R,D,1990-07-15,MASSENA,NY,USA,USA,74,200,2008,1,3,20192020,N,19,0,4,4
Jared Boll,--,R,R,1986-05-13,Charlotte,NC,USA,USA,75,206,2005,4,101,20082009,N,8,0,0,0
Nick Bonino,NSH,L,C,1988-04-20,Hartford,CT,USA,USA,73,196,2007,6,173,20102011,N,68,11,22,33
Adam Boqvist,CHI,R,D,2000-08-15,Falun,--,SWE,SWE,71,179,2018,1,8,20192020,N,8,0,0,0
Mark Borowiecki,OTT,L,D,1989-07-12,Ottawa,ON,CAN,CAN,74,204,2008,5,139,20142015,N,2,0,0,0
Robert Bortuzzo,STL,R,D,1989-03-18,Thunder Bay,ON,CAN,CAN,76,216,2007,3,78,20132014,N,35,2,1,3
Lance Bouma,--,L,L,1990-03-25,Provost,AB,CAN,CAN,74,208,2008,3,78,20142015,N,3,0,0,0
Gabriel Bourque,WPG,L,L,1990-09-23,Rimouski,QC,CAN,CAN,70,206,2009,5,131,20112012,N,21,3,0,3
Jay Bouwmeester,STL,L,D,1983-09-27,Edmonton,AB,CAN,CAN,76,206,2002,1,3,20122013,N,57,0,11,11
Johnny Boychuk,NYI,R,D,1984-01-19,Edmonton,AB,CAN,CAN,74,227,2002,2,61,20092010,N,18,0,1,1
Travis Boyd,WSH,R,C,1993-09-14,Hopkins,MN,USA,USA,72,190,2011,6,177,20172018,N,6,1,0,1
Brian Boyle,FLA,L,C,1984-12-18,Hingham,MA,USA,USA,78,245,2003,1,26,20102011,N,35,6,4,10
Dan Boyle,--,R,D,1976-07-12,Ottawa,ON,CAN,CAN,71,194,--,--,--,20022003,N,4,0,1,1
Tyler Bozak,STL,R,C,1986-03-19,Regina,SK,CAN,CAN,73,199,--,--,--,20122013,N,47,9,14,23
Derick Brassard,NYI,L,C,1987-09-22,Hull,QC,CAN,CAN,73,202,2006,1,6,20122013,N,63,8,20,28
Jesper Bratt,NJD,L,L,1998-07-30,Stockholm,--,SWE,SWE,70,175,2016,6,162,20172018,N,1,0,0,0
Justin Braun,PHI,R,D,1987-02-10,Minneapolis,MN,USA,USA,74,205,2007,7,201,20102011,N,76,2,10,12
TJ Brodie,CGY,L,D,1990-06-07,Chatham,ON,CAN,CAN,73,185,2008,4,114,20142015,N,19,3,7,10
Jonas Brodin,MIN,L,D,1993-07-12,Karlstad,--,SWE,SWE,73,194,2011,1,10,20122013,N,20,1,7,8
Kyle Brodziak,DET,R,C,1984-05-25,St. Paul,AB,CAN,CAN,74,205,2003,7,214,20122013,N,30,2,2,4
Troy Brouwer,STL,R,R,1985-08-17,Vancouver,BC,CAN,CAN,75,213,2004,7,214,20082009,N,28,9,7,16
Connor Brown,OTT,R,R,1994-01-14,Toronto,ON,CAN,CAN,72,186,2012,6,156,20162017,N,20,1,4,5
Dustin Brown,LAK,R,R,1984-11-04,Ithaca,NY,USA,USA,72,210,2003,1,13,20092010,N,9,0,2,2
Josh Brown,FLA,R,D,1994-01-21,London,ON,CAN,CAN,77,217,2013,6,152,20192020,N,2,0,0,0
JT Brown,MIN,R,R,1990-07-02,Burnsville,MN,USA,USA,70,182,--,--,--,20132014,N,13,0,2,2
Patrick Brown,VGK,R,C,1992-05-29,Bloomfield Hills,MI,USA,USA,71,214,--,--,--,20182019,N,10,1,0,1
Pavel Buchnevich,NYR,L,R,1995-04-17,Cherepovets,--,RUS,RUS,75,197,2013,3,75,20162017,N,8,0,1,1
Connor Bunnaman,PHI,L,C,1998-04-16,Guelph,ON,CAN,CAN,73,207,2016,4,109,20192020,N,4,0,0,0
Andre Burakovsky,COL,L,L,1995-02-09,Klagenfurt,--,AUT,SWE,75,201,2013,1,23,20142015,N,60,14,18,32
Brent Burns,SJS,R,D,1985-03-09,Barrie,ON,CAN,CAN,77,230,2003,1,20,20062007,N,60,15,35,50
Alexandre Burrows,--,L,R,1981-04-11,Pincourt,QC,CAN,CAN,73,197,--,--,--,20062007,N,15,0,5,5
Will Butcher,NJD,L,D,1995-01-06,Sun Prairie,WI,USA,USA,70,190,2013,5,123,20172018,N,5,1,3,4
Dustin Byfuglien,--,R,D,1985-03-27,Roseau,MN,USA,USA,77,260,2003,8,245,20082009,N,23,7,17,24
Paul Byron,MTL,L,L,1989-04-27,Ottawa,ON,CAN,CAN,69,158,2007,6,179,20162017,N,16,2,3,5
Nick Caamano,DAL,L,R,1998-09-07,Hamilton,ON,CAN,CAN,75,200,2016,5,146,20192020,N,1,0,0,0
Drake Caggiula,CHI,L,C,1994-06-20,Pickering,ON,CAN,CAN,70,176,--,--,--,20162017,N,21,4,2,6
Ryan Callahan,OTT,R,R,1985-03-21,Rochester,NY,USA,USA,70,187,2004,4,127,20062007,N,33,4,3,7
Matt Calvert,COL,L,L,1989-12-24,Brandon,MB,CAN,CAN,71,186,2008,5,127,20132014,N,26,5,8,13
Brian Campbell,--,L,D,1979-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,20052006,N,10,0,1,1
Paul Carey,BOS,L,C,1988-09-24,Boston,MA,USA,USA,73,200,2007,5,135,20132014,N,1,0,0,0
Matt Carle,--,L,D,1984-09-25,Anchorage,AK,USA,USA,72,197,2003,2,47,20052006,N,14,0,5,5
Brandon Carlo,BOS,R,D,1996-11-26,Colorado Springs,CO,USA,USA,77,212,2015,2,37,20182019,N,37,2,3,5
John Carlson,WSH,R,D,1990-01-10,Natick,MA,USA,USA,75,217,2008,1,27,20092010,N,61,12,35,47
Gabriel Carlsson,CBJ,L,D,1997-01-02,Orebro,--,SWE,SWE,77,192,2015,1,29,20162017,N,5,0,0,0
Lucas Carlsson,CHI,L,D,1997-07-05,Gävle,--,SWE,SWE,72,189,2016,4,110,20192020,N,1,0,0,0
Ryan Carpenter,CHI,R,C,1991-01-18,Oviedo,FL,USA,USA,72,200,--,--,--,20172018,N,26,0,6,6
Connor Carrick,NJD,R,D,1994-04-13,Orland Park,IL,USA,USA,71,192,2012,5,137,20162017,N,6,0,0,0
William Carrier,VGK,L,L,1994-12-20,LaSalle,QC,CAN,CAN,74,218,2013,2,57,20172018,N,37,2,1,3
Jeff Carter,LAK,R,C,1985-01-01,London,ON,CAN,CAN,75,219,2003,1,11,20052006,N,9,2,0,2
Ryan Carter,--,L,L,1983-08-03,White Bear Lake,MN,USA,USA,73,205,--,--,--,20062007,N,2,0,0,0
Cody Ceci,TOR,R,D,1993-12-21,Ottawa,ON,CAN,CAN,74,210,2012,1,15,20142015,N,24,1,1,2
Erik Cernak,TBL,R,D,1997-05-28,Kosice,--,SVK,SVK,75,230,2015,2,43,20182019,N,26,0,7,7
Zdeno Chara,BOS,L,D,1977-03-18,Trencin,--,SVK,SVK,81,250,1996,3,56,20012002,N,54,3,9,12
Ben Chiarot,MTL,L,D,1991-05-09,Hamilton,ON,CAN,CAN,75,225,2009,4,119,20142015,N,32,0,5,5
Alex Chiasson,EDM,R,R,1990-10-01,Montreal,QC,CAN,CAN,76,208,2009,2,38,20132014,N,24,2,2,4
Jason Chimera,--,L,L,1979-05-02,Edmonton,AB,CAN,CAN,75,215,1997,5,121,20022003,N,14,1,1,2
Taylor Chorney,--,L,D,1987-04-27,Thunder Bay,ON,CAN,CAN,72,193,2005,2,36,20142015,N,7,0,1,1
Jakob Chychrun,ARI,L,D,1998-03-31,Boca Raton,FL,USA,USA,74,210,2016,1,16,20192020,N,9,1,0,1
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,206,2017,1,21,20192020,N,3,0,0,0
Anthony Cirelli,TBL,L,C,1997-07-15,Etobicoke,ON,CAN,CAN,72,193,2015,3,72,20172018,N,43,6,7,13
Casey Cizikas,NYI,L,C,1991-02-27,Toronto,ON,CAN,CAN,71,195,2009,4,92,20122013,N,37,0,5,5
Fredrik Claesson,NJD,L,D,1992-11-24,Stockholm,--,SWE,SWE,73,196,2011,5,126,20162017,N,14,0,3,3
Adam Clendening,CBJ,R,D,1992-10-26,Niagara Falls,NY,USA,USA,72,189,2011,2,36,20182019,N,7,0,1,1
Kyle Clifford,TOR,L,L,1991-01-13,Ayr,ON,CAN,CAN,74,211,2009,2,35,20102011,N,13,0,1,1
Connor Clifton,BOS,R,D,1995-04-28,Long Branch,NJ,USA,USA,71,175,2013,5,133,20182019,N,26,3,5,8
Cal Clutterbuck,NYI,R,R,1987-11-18,Welland,ON,CAN,CAN,71,216,2006,3,72,20122013,N,39,4,3,7
Braydon Coburn,TBL,L,D,1985-02-27,Shaunavon,SK,CAN,CAN,77,224,2003,1,8,20072008,N,39,0,5,5
Andrew Cogliano,DAL,L,C,1987-06-14,Toronto,ON,CAN,CAN,70,175,2005,1,25,20122013,N,61,6,6,12
Ian Cole,COL,L,D,1989-02-21,Ann Arbor,MI,USA,USA,73,225,2007,1,18,20112012,N,82,1,21,22
Blake Coleman,TBL,L,C,1991-11-28,Plano,TX,USA,USA,71,200,2011,3,75,20172018,N,27,6,8,14
Blake Comeau,DAL,R,L,1986-02-18,Meadow Lake,SK,CAN,CAN,73,200,2004,2,47,20132014,N,42,5,6,11
J.T. Compher,COL,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20172018,N,33,7,10,17
Cory Conacher,TBL,L,C,1989-12-14,Burlington,ON,CAN,CAN,68,185,--,--,--,20122013,N,2,0,0,0
Erik Condra,--,R,R,1986-08-06,Trenton,MI,USA,USA,71,185,2006,7,211,20112012,N,3,0,0,0
Kevin Connauton,COL,L,D,1990-02-23,Edmonton,AB,CAN,CAN,74,205,2009,3,83,20132014,N,4,0,1,1
Brett Connolly,FLA,R,R,1992-05-02,Campbell River,BC,CAN,CAN,75,192,2010,1,6,20162017,N,42,8,3,11
Kyle Connor,WPG,L,L,1996-12-09,Shelby Township,MI,USA,USA,73,182,2015,1,17,20172018,N,27,6,10,16
Andrew Copp,WPG,L,C,1994-07-08,Ann Arbor,MI,USA,USA,73,206,2013,4,104,20172018,N,26,3,7,10
Nick Cousins,VGK,L,C,1993-07-20,Belleville,ON,CAN,CAN,71,183,2011,3,68,20152016,N,23,0,5,5
Logan Couture,SJS,L,C,1989-03-28,Guelph,ON,CAN,CAN,73,200,2007,1,9,20092010,N,60,30,35,65
Sean Couturier,PHI,L,C,1992-12-07,Phoenix,AZ,USA,CAN,75,211,2011,1,8,20112012,N,21,7,11,18
Charlie Coyle,BOS,R,C,1992-03-02,E. Weymouth,MA,USA,USA,75,220,2010,1,28,20122013,N,53,15,10,25
Sidney Crosby,PIT,L,C,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005,1,1,20062007,N,68,25,46,71
Tommy Cross,FLA,L,D,1989-09-12,Hartford,CT,USA,USA,75,201,2007,2,35,20162017,N,1,0,1,1
Lawson Crouse,ARI,L,L,1997-06-23,Mt. Brydges,ON,CAN,CAN,76,220,2015,1,11,20192020,N,9,2,0,2
Matt Cullen,--,L,C,1976-11-02,Virginia,MN,USA,USA,73,202,1996,2,35,19981999,N,58,7,10,17
Austin Czarnik,CGY,R,C,1992-12-12,Detroit,MI,USA,USA,69,170,--,--,--,20182019,N,1,0,0,0
Kirby Dach,CHI,R,C,2001-01-21,Fort Saskatchewan,AB,CAN,CAN,76,197,2019,1,3,20192020,N,9,1,5,6
Evgenii Dadonov,FLA,L,R,1989-03-12,Chelyabinsk,--,RUS,RUS,71,185,2007,3,71,20192020,N,4,0,1,1
Michael Dal Colle,NYI,L,L,1996-06-20,Woodbridge,ON,CAN,CAN,75,204,2014,1,5,20182019,N,4,0,0,0
Trevor Daley,DET,L,D,1983-10-09,Toronto,ON,CAN,CAN,71,199,2002,2,43,20032004,N,36,2,9,11
Zac Dalpe,CBJ,R,C,1989-11-01,Paris,ON,CAN,CAN,74,197,2008,2,45,20152016,N,3,0,0,0
Phillip Danault,MTL,L,C,1993-02-24,Victoriaville,QC,CAN,CAN,73,201,2011,1,26,20162017,N,16,1,4,5
Pavel Datsyuk,--,L,C,1978-07-20,Sverdlovsk,--,RUS,RUS,71,194,1998,6,171,20012002,N,5,0,0,0
Brandon Davidson,SJS,L,D,1991-08-21,Taber,AB,CAN,CAN,74,208,2010,6,162,20162017,N,3,0,0,0
Calvin de Haan,CHI,L,D,1991-05-09,Carp,ON,CAN,CAN,73,195,2009,1,12,20142015,N,32,1,3,4
Jacob de la Rose,STL,L,L,1995-05-20,Arvika,--,SWE,SWE,75,215,2013,2,34,20142015,N,5,0,0,0
Tony DeAngelo,NYR,R,D,1995-10-24,Sewell,NJ,USA,USA,71,180,2014,1,19,20192020,N,3,0,1,1
Alex DeBrincat,CHI,R,L,1997-12-18,Farmington Hills,MI,USA,USA,67,165,2016,2,39,20192020,N,9,2,4,6
Jake DeBrusk,BOS,L,L,1996-10-17,Edmonton,AB,CAN,CAN,72,188,2015,1,14,20172018,N,49,14,9,23
Danny DeKeyser,DET,L,D,1990-03-07,Detroit,MI,USA,USA,75,190,--,--,--,20122013,N,5,0,1,1
Dylan DeMelo,WPG,R,D,1993-05-01,London,ON,CAN,CAN,72,191,2011,6,179,20172018,N,14,0,1,1
Jason Demers,ARI,R,D,1988-06-09,Dorval,QC,CAN,CAN,73,195,2008,7,186,20092010,N,22,0,7,7
Travis Dermott,TOR,L,D,1996-12-22,Newmarket,ON,CAN,CAN,72,205,2015,2,34,20172018,N,19,2,3,5
David Desharnais,--,L,C,1986-09-14,Laurier-Station,QC,CAN,CAN,67,180,--,--,--,20102011,N,13,1,3,4
Andrew Desjardins,--,L,L,1986-07-27,Lively,ON,CAN,CAN,73,195,--,--,--,20102011,N,6,0,0,0
Simon Despres,--,L,D,1991-07-27,Laval,QC,CAN,CAN,76,218,2009,1,30,20112012,N,7,0,0,0
Phillip Di Giuseppe,NYR,L,L,1993-10-09,Toronto,ON,CAN,CAN,72,193,2012,2,38,20192020,N,3,0,0,0
Raphael Diaz,--,R,D,1986-01-09,Baar,--,CHE,CHE,71,197,--,--,--,20122013,N,1,0,1,1
Jason Dickinson,DAL,L,C,1995-07-04,Georgetown,ON,CAN,CAN,74,200,2013,1,29,20182019,N,37,5,4,9
Brenden Dillon,WSH,L,D,1990-11-13,New Westminster,BC,CAN,CAN,76,225,--,--,--,20132014,N,68,0,10,10
Christian Djoos,ANA,L,D,1994-08-06,Gothenburg,--,SWE,SWE,72,180,2012,7,195,20172018,N,25,0,1,1
Noah Dobson,NYI,R,D,2000-01-07,Summerside,PE,CAN,CAN,76,184,2018,1,12,20192020,N,1,0,0,0
Max Domi,MTL,L,C,1995-03-02,Winnipeg,MB,CAN,CAN,70,192,2013,1,12,20192020,N,10,0,3,3
Ryan Donato,MIN,L,C,1996-04-09,Boston,MA,USA,USA,72,192,2014,2,56,20172018,N,5,0,0,0
Joonas Donskoi,COL,R,R,1992-04-13,Raahe,--,FIN,FIN,72,190,2010,4,99,20152016,N,59,12,15,27
Drew Doughty,LAK,R,D,1989-12-08,London,ON,CAN,CAN,73,202,2008,1,2,20092010,N,8,0,1,1
Nic Dowd,WSH,R,C,1990-05-27,Huntsville,AL,USA,USA,73,195,2009,7,197,20182019,N,15,1,0,1
Justin Dowling,DAL,L,C,1990-10-01,Calgary,AB,CAN,CAN,70,180,--,--,--,20182019,N,13,0,2,2
Leon Draisaitl,EDM,L,C,1995-10-27,Cologne,--,DEU,DEU,74,208,2014,1,3,20162017,N,17,9,13,22
Sheldon Dries,COL,L,C,1994-04-23,Macomb,MI,USA,USA,69,180,--,--,--,20192020,N,1,0,0,0
Jonathan Drouin,MTL,L,L,1995-03-28,Ste-Agathe,QC,CAN,CAN,72,197,2013,1,3,20142015,N,27,6,15,21
Dillon Dube,CGY,L,C,1998-07-20,Golden,BC,CAN,CAN,71,187,2016,2,56,20192020,N,10,4,1,5
Brandon Dubinsky,CBJ,L,C,1986-04-29,Anchorage,AK,USA,USA,74,208,2004,2,60,20072008,N,21,2,1,3
Pierre-Luc Dubois,CBJ,L,C,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,75,218,2016,1,3,20172018,N,26,8,11,19
Matt Duchene,NSH,L,C,1991-01-16,Haliburton,ON,CAN,CAN,71,195,2009,1,3,20092010,N,14,6,6,12
Matt Dumba,MIN,R,D,1994-07-25,Regina,SK,CAN,CAN,72,180,2012,1,7,20142015,N,20,1,4,5
Brian Dumoulin,PIT,L,D,1991-09-06,Biddeford,ME,USA,USA,76,207,2009,2,51,20142015,N,69,4,19,23
Vince Dunn,STL,L,D,1996-10-29,Mississauga,ON,CAN,CAN,72,203,2015,2,56,20182019,N,29,2,9,11
Christian Dvorak,ARI,L,C,1996-02-02,Palos,IL,USA,USA,72,195,2014,2,58,20192020,N,9,2,1,3
Ryan Dzingel,CAR,L,C,1992-03-09,Wheaton,IL,USA,USA,72,190,2011,7,204,20162017,N,28,3,1,4
Cody Eakin,WPG,L,C,1991-05-24,Winnipeg,MB,CAN,CAN,72,183,2009,3,85,20132014,N,44,6,8,14
Patrick Eaves,ANA,R,R,1984-05-01,Calgary,AB,CAN,USA,71,203,2003,1,29,20052006,N,16,5,5,10
Jordan Eberle,NYI,R,R,1990-05-15,Regina,SK,CAN,CAN,71,187,2008,1,22,20162017,N,43,9,16,25
Alexander Edler,VAN,L,D,1986-04-21,Ostersund,--,SWE,SWE,75,212,2004,3,91,20062007,N,17,0,7,7
Joel Edmundson,MTL,L,D,1993-06-28,Brandon,MB,CAN,CAN,76,215,2011,2,46,20152016,N,53,6,9,15
Nikolaj Ehlers,WPG,L,L,1996-02-14,Aalborg,--,DNK,DNK,72,172,2014,1,9,20172018,N,25,2,7,9
Aaron Ekblad,FLA,R,D,1996-02-07,Windsor,ON,CAN,CAN,76,215,2014,1,1,20152016,N,10,0,1,1
Mattias Ekholm,NSH,L,D,1990-05-24,Borlange,--,SWE,SWE,76,215,2009,4,102,20142015,N,59,5,24,29
Oliver Ekman-Larsson,ARI,L,D,1991-07-17,Karlskrona,--,SWE,SWE,74,200,2009,1,6,20112012,N,9,1,3,4
Lars Eller,WSH,L,C,1989-05-08,Rodovre,--,DNK,DNK,74,205,2007,1,13,20102011,N,49,8,19,27
Ryan Ellis,NSH,R,D,1991-01-03,Hamilton,ON,CAN,CAN,70,180,2009,1,11,20112012,N,59,6,24,30
Alexei Emelin,--,L,D,1986-04-25,Togliatti,--,RUS,RUS,74,218,2004,3,84,20132014,N,12,1,0,1
Deryk Engelland,VGK,R,D,1982-04-03,Edmonton,AB,CAN,CAN,74,212,2000,6,194,20112012,N,31,0,3,3
Pierre Engvall,TOR,L,L,1996-05-31,Ljungby,--,SWE,SWE,77,214,2014,7,188,20192020,N,4,0,0,0
Tyler Ennis,EDM,L,C,1989-10-06,Edmonton,AB,CAN,CAN,69,161,2008,1,26,20092010,N,9,1,3,4
Toby Enstrom,--,L,D,1984-11-05,Nordingra,--,SWE,SWE,70,180,2003,8,239,20142015,N,11,0,0,0
Jonathan Ericsson,DET,L,D,1984-03-02,Karlskrona,--,SWE,SWE,76,218,2002,9,291,20082009,N,5,0,1,1
Loui Eriksson,VAN,L,L,1985-07-17,Gothenburg,--,SWE,SWE,74,179,2003,2,33,20062007,N,10,0,0,0
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,73,210,2015,1,20,20162017,N,12,1,1,2
Adam Erne,DET,L,L,1995-04-20,New Haven,CT,USA,USA,73,212,2013,2,33,20182019,N,3,0,0,0
Jake Evans,MTL,R,C,1996-06-02,Toronto,ON,CAN,CAN,73,181,2014,7,207,20192020,N,6,0,1,1
Robby Fabbri,DET,L,C,1996-01-22,Mississauga,ON,CAN,CAN,70,190,2014,1,21,20152016,N,30,5,11,16
Dante Fabbro,NSH,R,D,1998-06-20,Coquitlam,BC,CAN,CAN,72,189,2016,1,17,20182019,N,10,0,1,1
Radek Faksa,DAL,L,C,1994-01-09,Vitkov,--,CZE,CZE,75,220,2012,1,13,20152016,N,45,6,8,14
